Model,R2,MAE,MSE,RMSE
RandomForestRegressor,0.9998642305826346,6.083555641666664,96.7140399321047,9.834329663586873
GradientBoostingRegressor,0.998396899015341,25.969341646193918,1141.953583171361,33.79280371871149
LinearRegression,0.8595502483489972,232.2583636113569,100048.03108988784,316.30370072113897
